ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
201.222.50.218,80,http,no,elite,PY,Paraguay,Asunción,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),1109,250,69.8,967,2026-08-12T00:13:04.2230825Z,2026-08-12T00:13:04.2230825Z
190.104.168.27,80,http,no,elite,PY,Paraguay,Asunción,Núcleo S.A,AS27895 Núcleo S.A.,1291,251,60.9,455,2026-08-12T00:11:44.8540121Z,2026-08-12T00:11:44.8540121Z
45.177.16.129,999,http,yes,transparent,PY,Paraguay,Ciudad del Este,Cross Connect Paraguay S.A,AS267885 MSW S.A.,3659,213,17.6,34,2026-08-12T00:11:07.3092614Z,2026-08-12T00:11:07.3092614Z
