ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
15.235.21.254,8080,http,no,anonymous,CA,Canada,Beauharnois,Forcepoint International Technology Limited,AS16276 OVH SAS,528,99,89,1613,2026-08-08T19:56:34.4494041Z,2026-08-08T19:56:34.4494041Z
161.35.90.93,1081,socks5,yes,elite,CA,Canada,Toronto,M247 Europe - Toronto Infrastructure,AS9009 M247 Europe SRL,531,9,78.3,277,2026-08-08T19:56:53.6676826Z,2026-08-08T19:56:53.6676826Z
155.138.133.163,10001,socks5,yes,elite,CA,Canada,Toronto,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",4717,1190,82.3,283,2026-08-08T19:56:15.6668806Z,2026-08-08T19:56:15.6668806Z
