ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
23.228.86.236,8081,http,no,transparent,US,United States,Los Angeles,T3 Web Hosting,AS17252 Colocation America Corporation,678,163,99.6,5055,2026-08-20T17:38:19.2135109Z,2026-08-20T17:38:19.2135109Z
137.66.1.45,80,http,no,transparent,US,United States,Elk Grove Village,GTT Americas,AS30081 CacheFly,678,3,98.9,5094,2026-08-20T17:38:38.8313168Z,2026-08-20T17:38:38.8313168Z
190.58.248.86,80,http,no,elite,TT,Trinidad and Tobago,Chaguanas,Telecommunication Services of Trinidad and Tobago,AS5639 Telecommunication Services of Trinidad and Tobago,681,338,100,5063,2026-08-20T17:35:33.4993804Z,2026-08-20T17:35:33.4993804Z
95.31.16.116,1081,socks5,yes,elite,RU,Russia,Moscow,CORBINA-BROADBAND,AS8402 PJSC Vimpelcom,688,47,98.3,1436,2026-08-20T17:39:01.2303612Z,2026-08-20T17:39:01.2303612Z
162.214.159.94,8085,http,no,elite,US,United States,Provo,Unified Layer,AS46606 Unified Layer,706,157,99.6,2571,2026-08-20T17:39:25.7469315Z,2026-08-20T17:39:25.7469315Z
8.215.112.214,7777,http,yes,elite,ID,Indonesia,Jakarta,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",707,171,77.5,1906,2026-08-20T17:38:56.1648216Z,2026-08-20T17:38:56.1648216Z
162.214.74.29,8085,http,no,elite,US,United States,Provo,Unified Layer,AS46606 Unified Layer,716,151,99.7,2570,2026-08-20T17:39:25.7505481Z,2026-08-20T17:39:25.7505481Z
160.34.208.144,80,http,no,anonymous,MX,Mexico,La Cañada,Oracle Corporation,AS31898 Oracle Corporation,719,162,88.2,365,2026-08-20T17:39:53.2224165Z,2026-08-20T17:39:53.2224165Z
98.83.197.228,3128,http,yes,transparent,US,United States,Ashburn,AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",724,1170,96.1,437,2026-08-20T17:37:42.5600836Z,2026-08-20T17:37:42.5600836Z
144.24.111.128,1088,socks5,yes,elite,IN,India,Mumbai,Oracle Cloud Infrastructure (ap-mumbai-1),AS31898 Oracle Corporation,725,120,98.2,5104,2026-08-20T17:37:02.3596334Z,2026-08-20T17:37:02.3596334Z
219.93.101.62,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,742,180,99.6,5069,2026-08-20T17:37:32.3765268Z,2026-08-20T17:37:32.3765268Z
104.194.8.103,40001,http,yes,elite,US,United States,Los Angeles,Cloudflare WARP,"AS13335 Cloudflare, Inc.",746,172,98.7,975,2026-08-20T17:33:38.4112837Z,2026-08-20T17:33:38.4112837Z
219.93.101.60,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,748,184,99,4942,2026-08-20T17:37:32.3871294Z,2026-08-20T17:37:32.3871294Z
192.111.139.163,19404,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,763,151,99.9,5064,2026-08-20T17:35:33.3942959Z,2026-08-20T17:35:33.3942959Z
199.66.183.226,4145,socks4,no,elite,US,United States,Stockbridge,NET2ATLANTA.COM LLC,AS20081 NET2ATLANTA.COM LLC,763,162,99.9,5069,2026-08-20T17:37:19.7291221Z,2026-08-20T17:37:19.7291221Z
192.111.130.2,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,764,152,99.7,5068,2026-08-20T17:35:33.3961215Z,2026-08-20T17:35:33.3961215Z
216.48.180.178,8080,http,no,elite,IN,India,Noida,E2E Networks Limited,AS132420 E2E NETWORKS,766,152,45.6,285,2026-08-20T17:39:18.9441856Z,2026-08-20T17:39:18.9441856Z
192.252.209.158,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,767,153,99.7,5069,2026-08-20T17:39:58.7880117Z,2026-08-20T17:39:58.7880117Z
113.204.79.230,9091,http,no,elite,CN,China,Jinrongjie,huazhenggongXS com,AS4837 CHINA UNICOM China169 Backbone,769,271,99.3,5085,2026-08-20T17:39:58.9095548Z,2026-08-20T17:39:58.9095548Z
197.221.249.197,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,769,2243,79.5,3300,2026-08-20T17:38:04.5526126Z,2026-08-20T17:38:04.5526126Z
74.119.147.209,4145,socks4,no,elite,US,United States,Atlanta,ThePrimeHost - COLO@,AS46562 Performive LLC,770,151,99.7,5068,2026-08-20T17:37:12.6720668Z,2026-08-20T17:37:12.6720668Z
192.252.208.70,14282,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,772,154,99.8,5067,2026-08-20T17:35:22.2025544Z,2026-08-20T17:35:22.2025544Z
192.111.129.145,16894,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,773,153,99.5,5073,2026-08-20T17:36:06.4722741Z,2026-08-20T17:36:06.4722741Z
199.66.182.243,4145,socks4,no,elite,US,United States,Stockbridge,NET2ATLANTA.COM LLC,AS20081 NET2ATLANTA.COM LLC,773,158,99.9,5067,2026-08-20T17:37:32.3859765Z,2026-08-20T17:37:32.3859765Z
192.252.209.155,14455,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,774,152,99.8,5071,2026-08-20T17:36:06.4726288Z,2026-08-20T17:36:06.4726288Z
27.34.242.98,80,http,no,anonymous,IN,India,Bengaluru,BM Networks WAN,"AS45648 Bell Teleservices India Pvt Ltd., ISP having own OFC network in Bangalore, India.",775,181,99.7,5074,2026-08-20T17:39:25.8397909Z,2026-08-20T17:39:25.8397909Z
185.185.80.58,1088,socks5,yes,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,775,134,89.8,5228,2026-08-20T17:37:32.3624849Z,2026-08-20T17:37:32.3624849Z
192.111.139.165,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,777,153,99.7,5070,2026-08-20T17:37:32.3848695Z,2026-08-20T17:37:32.3848695Z
192.252.215.5,16137,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,777,154,99.7,5072,2026-08-20T17:39:13.2691841Z,2026-08-20T17:39:13.2691841Z
101.66.199.102,8085,http,no,elite,CN,China,Hangzhou,CNC Group CHINA169 Zhejiang Province Network,AS4837 CHINA UNICOM China169 Backbone,787,229,99.3,2041,2026-08-20T17:35:26.2004919Z,2026-08-20T17:35:26.2004919Z
219.93.101.63,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,787,180,99.3,5056,2026-08-20T17:36:33.4882435Z,2026-08-20T17:36:33.4882435Z
192.111.130.5,17002,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,788,153,99.9,5069,2026-08-20T17:37:02.4556667Z,2026-08-20T17:37:02.4556667Z
192.252.215.2,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,788,164,99.8,5066,2026-08-20T17:37:19.7560756Z,2026-08-20T17:37:19.7560756Z
192.252.214.17,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,790,152,99.8,5069,2026-08-20T17:37:02.4568740Z,2026-08-20T17:37:02.4568740Z
203.19.38.114,1080,http,no,elite,HK,Hong Kong,Hong Kong,China Telecom Global networks,AS23764 CTGNet,790,195,99.9,5069,2026-08-20T17:37:32.4392879Z,2026-08-20T17:37:32.4392879Z
184.170.245.148,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,793,158,99.8,5072,2026-08-20T17:35:22.2275922Z,2026-08-20T17:35:22.2275922Z
192.111.137.35,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,796,163,99.6,5042,2026-08-20T17:35:22.2351708Z,2026-08-20T17:35:22.2351708Z
199.116.112.6,4145,socks4,no,elite,US,United States,Atlanta,Divine Lighting,AS46562 Performive LLC,798,152,99.8,5069,2026-08-20T17:37:02.4652669Z,2026-08-20T17:37:02.4652669Z
192.111.137.34,18765,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,800,159,99.6,5069,2026-08-20T17:37:02.4734842Z,2026-08-20T17:37:02.4734842Z
184.170.249.65,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,801,158,99.6,5010,2026-08-20T17:37:02.4734365Z,2026-08-20T17:37:02.4734365Z
192.111.138.29,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,808,159,99.8,5067,2026-08-20T17:37:02.4816643Z,2026-08-20T17:37:02.4816643Z
192.252.216.86,4145,socks4,no,elite,US,United States,Atlanta,Performive LLC,AS46562 Performive LLC,808,152,99.7,5069,2026-08-20T17:39:25.8438436Z,2026-08-20T17:39:25.8438436Z
184.178.172.14,4145,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,825,168,99.9,5063,2026-08-20T17:35:33.4730908Z,2026-08-20T17:35:33.4730908Z
201.134.41.110,443,http,no,elite,MX,Mexico,Heroica Matamoros,UNINET,AS8151 UNINET,827,161,72.5,1446,2026-08-20T17:37:53.2843543Z,2026-08-20T17:37:53.2843543Z
154.68.64.4,80,http,no,anonymous,RW,Rwanda,Butare,Rwanda Ministry of Education,AS37654 Rwanda Ministry of Education,831,191,89,538,2026-08-20T17:36:38.6648956Z,2026-08-20T17:36:38.6648956Z
125.122.35.253,8086,http,no,elite,CN,China,Hangzhou,Chinanet,AS58461 CT HangZhou IDC,833,209,99.2,5078,2026-08-20T17:36:08.5976490Z,2026-08-20T17:36:08.5976490Z
184.178.172.13,15311,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,835,164,99.9,5065,2026-08-20T17:38:15.7005585Z,2026-08-20T17:38:15.7005585Z
72.207.109.5,4145,socks4,no,elite,US,United States,Dallas,Cox Communications,AS22773 Cox Communications Inc.,837,165,99.9,5066,2026-08-20T17:35:48.1293558Z,2026-08-20T17:35:48.1293558Z
98.191.0.37,4145,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc,AS22773 Cox Communications Inc.,837,164,99.9,5066,2026-08-20T17:38:15.7009359Z,2026-08-20T17:38:15.7009359Z
184.178.172.25,15291,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,838,168,99.9,5067,2026-08-20T17:38:15.7063682Z,2026-08-20T17:38:15.7063682Z
72.195.34.42,4145,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,839,168,99.9,5066,2026-08-20T17:38:15.7091931Z,2026-08-20T17:38:15.7091931Z
